text,category
"After a decade of saving and investing more than half of their income, Justin and Kaisorn McCurry built a portfolio of $1.3 million, enough to support their modest lifestyle in retirement.",Finance
"In accounting, revenue is the income that a business has from its normal business activities, usually from the sale of goods and services to customers. Revenue is also referred to as sales or turnover. Some companies receive revenue from interest, royalties, or other fees.",Finance
"Office of the Revenue Commissioners. ... November 2018 Revenue seize alcohol and cigarettes worth over €28,000 in Dublin Port; 02 November 2018 Revenue",Finance
"The belief that deflation will continue has become so ingrained it has presented seemingly insurmountable challenges to monetary policy, ..",Finance
"Money is any item or verifiable record that is generally accepted as payment for goods and services and repayment of debts, such as taxes, in a particular",Finance
"Complete stock market coverage with breaking news, analysis, stock quotes, before & after hours market data, research and earnings",Finance
"Nvidia Corp.'s stock plummeted Friday for its worst one-day drop in more than a decade, as a disappointing earnings report cost the ",Finance
"In finance, the benefit from investment is called a return. The return may consist of a profit from the sale of property or an investment, or investment income including dividends, interests, rental income etc., or a combination of the two.",Finance
"Buybacks in particular have attracted the ire of corporate America’s critics. Larry Fink, CEO of the investment management firm BlackRock, for example, warned corporate leaders against seeking to “deliver immediate returns to shareholders, such as buy-backs…while underinvesting in innovation, skilled workforces or essential capital expenditures necessary to sustain long-term growth.” Former U.S. Vice President Joseph Biden recently claimed that the high level of buybacks “has led to significant decline in business investment” with “most of the harm…borne by workers.” Critics often point to the high ratio of shareholder payouts to net income. As William Lazonick of the University of Massachusetts noted in these pages, stock repurchases and dividends totaled 91% of net income in S&P 500 firms from 2003 to 2012.",Finance
"The controller shall provide information on action taken on a request under Articles 15 to 22 to the data subject without undue delay and in any event within one month of receipt of the request. That period may be extended by two further months where necessary, taking into account the complexity and number of the requests. The controller shall inform the data subject of any such extension within one month of receipt of the request, together with the reasons for the delay. Where the data subject makes the request by electronic form means, the information shall be provided by electronic means where possible, unless otherwise requested by the data subject.",Security
"The data subject shall have the right to receive the personal data concerning him or her, which he or she has provided to a controller, in a structured, commonly used and machine-readable format and have the right to transmit those data to another controller without hindrance from the controller to which the personal data have been provided, where:",Security
"Where the controller has made the personal data public and is obliged pursuant to paragraph 1 to erase the personal data, the controller, taking account of available technology and the cost of implementation, shall take reasonable steps, including technical measures, to inform controllers which are processing the personal data that the data subject has requested the erasure by such controllers of any links to, or copy or replication of, those personal data.",Security
"In the case of a personal data breach, the controller shall without undue delay and, where feasible, not later than 72 hours after having become aware of it, notify the personal data breach to the supervisory authority competent in accordance with Article 55, unless the personal data breach is unlikely to result in a risk to the rights and freedoms of natural persons. 2Where the notification to the supervisory authority is not made within 72 hours, it shall be accompanied by reasons for the delay.",Security
"The controller shall document any personal data breaches, comprising the facts relating to the personal data breach, its effects and the remedial action taken. 2That documentation shall enable the supervisory authority to verify compliance with this Article.",Security
"Where a type of processing in particular using new technologies, and taking into account the nature, scope, context and purposes of the processing, is likely to result in a high risk to the rights and freedoms of natural persons, the controller shall, prior to the processing, carry out an assessment of the impact of the envisaged processing operations on the protection of personal data. 2A single assessment may address a set of similar processing operations that present similar high risks.",Security
1The supervisory authority shall establish and make public a list of the kind of processing operations which are subject to the requirement for a data protection impact assessment pursuant to paragraph 1. 2The supervisory authority shall communicate those lists to the Board referred to in Article 68.,Security
"the competent supervisory authority shall apply the consistency mechanism referred to in Article 63where such lists involve processing activities which are related to the offering of goods or services to data subjects or to the monitoring of their behaviour in several Member States, or may substantially affect the free movement of personal data within the Union.",Security
"Each state across the country has consumer protection laws in place, with the goal of preventing businesses from using misleading marketing campaigns as a means to drive sales numbers.",Marketing
Consumer protection laws allow customers wronged through deceptive advertising practices to seek punitive damages from the offending business,Marketing
A consumer seeking punitive damages may receive a much higher settlement amount from a business than in a lawsuit through which the consumer may recoup only actual losses,Marketing
Marketing organizations in the United States have all adjusted to regulations requiring targeted recipients of emails to be able to unsubscribe,Marketing
"It is second nature for us to handle sensitive customer data when generating new demand generation campaigns and events, but it might not always be second nature to consider the privacy implications (the aforementioned real-life example I shared can attest to that)",Marketing
"Under the law, claims in advertisements must be truthful, cannot be deceptive or unfair, and must be evidence-based. For some specialized products or services, additional rules may apply.",Marketing
"A more recent area of legal concern in marketing has been the proliferation of junk email, or ""SPAM."" These are unsolicited messages, usually designed for advertising purposes, and often related to products or services in which the recipient has little or no interest or which could be considered offensive. These laws are very specific about what an email marketer must and must not do in order to avoid running afoul of FTC regulations.",Marketing
"Marketing Law relates to the statutes, case law, and rules and regulations pertaining to the prevention of consumer harm resulting from deceptive marketing practices related to the sale of goods and services. These laws tend to be particularly strict with regard to food products, drugs, medical devices, and financial matters.",Marketing
"Another significant area of marketing law pertains to telemarketing. Much of this industry has been curtailed in recent years by the enactment of the National Do Not Call Registry and other laws. However, telemarketing still remains a means of marketing for some business sectors and these laws regulate how those working in this sector must govern their affairs.",Marketing
"a financial gain, especially the difference between the amount earned and the amount spent in buying, operating, or producing something.",Finance
"obtain a financial advantage or benefit, especially from an investment",Finance
"Monetary policy in the United States comprises the Federal Reserve's actions and communications to promote maximum employment, stable prices, and moderate long-term interest rates--the three economic goals the Congress has instructed the Federal Reserve to pursue.",Finance
"The controller shall communicate any rectification or erasure of personal data or restriction of processing carried out in accordance with Article 16, Article 17(1) and Article 18 to each recipient to whom the personal data have been disclosed, unless this proves impossible or involves disproportionate effort. 2The controller shall inform the data subject about those recipients if the data subject requests it.",Security
"Where processing has been restricted under paragraph 1, such personal data shall, with the exception of storage, only be processed with the data subject’s consent or for the establishment, exercise or defence of legal claims or for the protection of the rights of another natural or legal person or for reasons of important public interest of the Union or of a Member State.",Security
"The controller shall implement appropriate technical and organisational measures for ensuring that, by default, only personal data which are necessary for each specific purpose of the processing are processed. 2That obligation applies to the amount of personal data collected, the extent of their processing, the period of their storage and their accessibility. 3In particular, such measures shall ensure that by default personal data are not made accessible without the individual’s intervention to an indefinite number of natural persons.",Security
"Marketers and manufacturers that promote their products as Made in USA must meet the “all or virtually all” standard. This publication offers practical guidance on Made in USA claims.
",Marketing
"Companies also need to be familiar with rules banning most forms of robocalling. If you or someone working on your behalf is telemarketing products or services, know the dos and don’ts before you plan your strategy.",Marketing
"The Internet connects marketers to customers across the country and around the world. If you advertise online, remember the rules and guidelines that protect consumers also help businesses by maintaining the credibility of the Internet as a marketing medium. In addition, truth-in-advertising standards apply if you sell computers, software, apps, or other products or services.",Marketing
"“Communications” consist of correspondence, retail communications and institutional communications. “Correspondence” means any written (including electronic) communication that is distributed or made available to 25 or fewer retail investors within any 30 calendar-day period.",Marketing
"“Institutional communication” means any written (including electronic) communication that is distributed or made available only to institutional investors, but does not include a member's internal communications.",Marketing
"“Institutional investor” means any:
(A) person described in Rule 4512(c), regardless of whether the person has an account with a member;
(B) governmental entity or subdivision thereof;
(C) employee benefit plan, or multiple employee benefit plans offered to employees of the same employer, that meet the requirements of Section 403(b) or Section 457 of the Internal Revenue Code and in the aggregate have at least 100 participants, but does not include any participant of such plans.",Marketing
" qualified plan, as defined in Section 3(a)(12)(C) of the Exchange Act, or multiple qualified plans offered to employees of the same employer, that in the aggregate have at least 100 participants, but does not include any participant of such plans;
(E) member or registered person of such a member; and
(F) person acting solely on behalf of any such institutional investor.",Marketing
No member may treat a communication as having been distributed to an institutional investor if the member has reason to believe that the communication or any excerpt thereof will be forwarded or made available to any retail investor.,Marketing
"“Retail communication” means any written (including electronic) communication that is distributed or made available to more than 25 retail investors within any 30 calendar-day period.
(6) “Retail investor” means any person other than an institutional investor, regardless of whether the person has an account with a member.",Marketing
"Approval, Review and Recordkeeping
(1) Retail Communications
(A) An appropriately qualified registered principal of the member must approve each retail communication before the earlier of its use or filing with FINRA's Advertising Regulation Department (""Department"").",Marketing
"The requirements of paragraph (b)(1)(A) may be met by a Supervisory Analyst approved pursuant to NYSE Rule 344 with respect to: (i) research reports on debt and equity securities as described in Rules 2241(a)(11) and 2242(a)(3); (ii) retail communications as described in Rules 2241(a)(11)(A) and 2242(a)(3)(A); and (iii) other research communications, provided that the Supervisory Analyst has technical expertise in the particular product area. A Supervisory Analyst may not approve a retail communication that requires a separate registration unless the Supervisory Analyst also has such other registration.",Marketing
" The requirements of paragraph (b)(1)(A) shall not apply with regard to any retail communication if, at the time that a member intends to publish or distribute it:
(i) another member has filed it with the Department and has received a letter from the Department stating that it appears to be consistent with applicable standards; and
(ii) the member using it in reliance upon this subparagraph has not materially altered it and will not use it in a manner that is inconsistent with the conditions of the Department's letter.",Marketing
"The requirements of paragraph (b)(1)(A) shall not apply with regard to the following retail communications, provided that the member supervises and reviews such communications in the same manner as required for supervising and reviewing correspondence pursuant to Rules 3110(b) and 3110.06 through .09:",Marketing
"any retail communication that is excepted from the definition of ""research report"" pursuant to Rule 2241(a)(11)(A) or ""debt research report"" under Rule 2242(a)(3)(A), unless the communication makes any financial or investment recommendation;",Marketing
"any retail communication that is posted on an online interactive electronic forum; and
(iii) any retail communication that does not make any financial or investment recommendation or otherwise promote a product or service of the member.",Marketing
"Pursuant to the Rule 9600 Series, FINRA may conditionally or unconditionally grant an exemption from paragraph (b)(1)(A) for good cause shown after taking into consideration all relevant factors, to the extent such exemption is consistent with the purposes of the Rule, the protection of investors, and the public interest.",Marketing
"Notwithstanding any other provision of this Rule, an appropriately qualified principal must approve a communication prior to a member filing the communication with the Department.",Marketing
All correspondence is subject to the supervision and review requirements of Rules 3110(b) and 3110.06 through .09.,Marketing
"Each member shall establish written procedures that are appropriate to its business, size, structure, and customers for the review by an appropriately qualified registered principal of institutional communications used by the member and its associated persons. Such procedures must be reasonably designed to ensure that institutional communications comply with applicable standards.",Marketing
"When such procedures do not require review of all institutional communications prior to first use or distribution, they must include provision for the education and training of associated persons as to the firm's procedures governing institutional communications, documentation of such education and training, and surveillance and follow-up to ensure that such procedures are implemented and adhered to. Evidence that these supervisory procedures have been implemented and carried out must be maintained and made available to FINRA upon request.",Marketing
"Members must maintain all retail communications and institutional communications for the retention period required by SEA Rule 17a-4(b) and in a format and media that comply with SEA Rule 17a-4. The records must include:
(i) a copy of the communication and the dates of first and (if applicable) last use of such communication;",Marketing
"(ii) the name of any registered principal who approved the communication and the date that approval was given;
(iii) in the case of a retail communication or an institutional communication that is not approved prior to first use by a registered principal, the name of the person who prepared or distributed the communication;",Marketing
"(iv) information concerning the source of any statistical table, chart, graph or other illustration used in the communication;
(v) for any retail communication for which principal approval is not required pursuant to paragraph (b)(1)(C), the name of the member that filed the retail communication with the Department, and a copy of the corresponding review letter from the Department; and",Marketing
"(vi) for any retail communication that includes or incorporates a performance ranking or performance comparison of a registered investment company, a copy of the ranking or performance used in the retail communication.",Marketing
Members must maintain all correspondence in accordance with the record-keeping requirements of Rules 3110.09 and 4511.,Marketing
"(1) Requirement for Certain Members to File Retail Communications Prior to First Use
(A) For a period of one year beginning on the date reflected in the Central Registration Depository (CRD®) system as the date that FINRA membership became effective, the member must file with the Department at least 10 business days prior to first use any retail communication that is published or used in any electronic or other public media, including any generally accessible website, newspaper, magazine or other periodical, radio, television, telephone or audio recording, video display, signs or billboards, motion pictures, or telephone directories (other than routine listings).",Marketing
"To the extent any retail communication that is subject to this filing requirement is a free writing prospectus that has been filed with the SEC pursuant to Securities Act Rule 433(d)(1)(ii), the member may file such retail communication within 10 business days of first use rather than at least 10 business days prior to first use.",Marketing
"(B) Notwithstanding the foregoing provisions, if the Department determines that a member has departed from the standards of this Rule, it may require that such member file all communications, or the portion of such member's communications that is related to any specific types or classes of securities or services, with the Department at least 10 business days prior to first use.",Marketing
"The Department will notify the member in writing of the types of communications to be filed and the length of time such requirement is to be in effect. Any filing requirement imposed under this subparagraph will take effect 21 calendar days after service of the written notice, during which time the member may request a hearing under Rules 9551 and 9559.",Marketing
"(2) Requirement to File Certain Retail Communications Prior to First Use
At least 10 business days prior to first use or publication (or such shorter period as the Department may allow), a member must file the following retail communications with the Department and withhold them from publication or circulation until any changes specified by the Department have been made:",Marketing
"Retail communications concerning registered investment companies (including mutual funds, exchange-traded funds, variable insurance products, closed-end funds and unit investment trusts) that include or incorporate performance rankings or performance comparisons of the investment company with other investment companies when the ranking or comparison category is not generally published or is the creation, either directly or indirectly, of the investment company, its underwriter or an affiliate. Such filings must include a copy of the data on which the ranking or comparison is based.",Marketing
"Retail communications concerning security futures. The requirements of this paragraph (c)(2)(B) shall not be applicable to:
(i) retail communications concerning security futures that are submitted to another self-regulatory organization having comparable standards pertaining to such retail communications; and
(ii) retail communications in which the only reference to security futures is contained in a listing of the services of a member.",Marketing
"Requirement to File Certain Retail Communications
Within 10 business days of first use or publication, a member must file the following communications with the Department:
(A) Retail communications that promote or recommend a specific registered investment company or family of registered investment companies (including mutual funds, exchange-traded funds, variable insurance products, closed-end funds, and unit investment trusts) not included within the requirements of paragraphs(c)(1) or (c)(2).",Marketing
"Retail communications concerning public direct participation programs (as defined in Rule 2310).
(C) Retail communications concerning collateralized mortgage obligations registered under the Securities Act.",Marketing
"(D) Retail communications concerning any security that is registered under the Securities Act and that is derived from or based on a single security, a basket of securities, an index, a commodity, a debt issuance or a foreign currency, not included within the requirements of paragraphs (c)(1), (c)(2) or subparagraphs (A) through (C) of paragraph (c)(3).",Marketing
"(4) Filing of Television or Video Retail Communications
If a member has filed a draft version or ""story board"" of a television or video retail communication pursuant to a filing requirement, then the member also must file the final filmed version within 10 business days of first use or broadcast.",Marketing
"(5) Date of First Use and Approval Information
A member must provide with each filing the actual or anticipated date of first use, the name, title and Central Registration Depository (CRD®) number of the registered principal who approved the retail communication, and the date that the approval was given.",Marketing
"(6) Spot-Check Procedures
In addition to the foregoing requirements, each member's written (including electronic) communications may be subject to a spot-check procedure. Upon written request from the Department, each member must submit the material requested in a spot-check procedure within the time frame specified by the Department.",Marketing
"(7) Exclusions from Filing Requirements
The following communications are excluded from the filing requirements of paragraphs (c)(1) through (c)(4):
(A) Retail communications that previously have been filed with the Department and that are to be used without material change.",Marketing
"(B) Retail communications that are based on templates that were previously filed with the Department the changes to which are limited to:
(i) updates of more recent statistical or other non-narrative information; and
(ii) non-predictive narrative information that describes market events during the period covered by the communication or factual changes in portfolio composition or is sourced from a registered investment company's regulatory documents filed with the SEC.",Marketing
Retail communications that do not make any financial or investment recommendation or otherwise promote a product or service of the member.,Marketing
Retail communications that do no more than identify a national securities exchange symbol of the member or identify a security for which the member is a registered market maker.,Marketing
Retail communications that do no more than identify the member or offer a specific security at a stated price.,Marketing
"Prospectuses, preliminary prospectuses, fund profiles, offering circulars, annual or semi-annual reports and similar documents that have been filed with the SEC or any state in compliance with applicable requirements, similar offering documents concerning securities offerings that are exempt from SEC and state registration requirements, and free writing prospectuses that are exempt from filing with the SEC, except that an investment company prospectus published pursuant to Securities Act Rule 482 and a free writing prospectus that is required to be filed with the SEC pursuant to Securities Act Rule 433(d)(1)(ii) will not be considered a prospectus for purposes of this exclusion.",Marketing
"Retail communications prepared in accordance with Section 2(a)(10)(b) of the Securities Act, as amended, or any rule thereunder, such as Rule 134, and announcements as a matter of record that a member has participated in a private placement, unless the retail communications are related to publicly offered direct participation programs or securities issued by registered investment companies.",Marketing
Press releases that are made available only to members of the media.,Marketing
"Any reprint or excerpt of any article or report issued by a publisher (“reprint”), provided that:
(i) the publisher is not an affiliate of the member using the reprint or any underwriter or issuer of a security mentioned in the reprint that the member is promoting;",Marketing
"neither the member using the reprint nor any underwriter or issuer of a security mentioned in the reprint has commissioned the reprinted article or report; and
(iii) the member using the reprint has not materially altered its contents except as necessary to make the reprint consistent with applicable regulatory standards or to correct factual errors.",Marketing
"(J) Correspondence.
(K) Institutional communications.
(L) Communications that refer to types of investments solely as part of a listing of products or services offered by the member.
(M) Retail communications that are posted on an online interactive electronic forum.",Marketing
(N) Press releases issued by closed-end investment companies that are listed on the New York Stock Exchange (NYSE) pursuant to section 202.06 of the NYSE Listed Company Manual (or any successor provision).,Marketing
"(O) Research reports as defined in Rule 2241 that concern only securities that are listed on a national securities exchange, other than research reports required to be filed with the Commission pursuant to Section 24(b) of the Investment Company Act.",Marketing
" Communications Deemed Filed with FINRA
Although the communications described in paragraphs (c)(7)(H) through (K) are excluded from the foregoing filing requirements, investment company communications described in those paragraphs shall be deemed filed with FINRA for purposes of Section 24(b) of the Investment Company Act and Rule 24b-3 thereunder.",Marketing
"Filing Exemptions
(A) Pursuant to the Rule 9600 Series, FINRA may exempt a member from the pre-use filing requirements of paragraph (c)(1)(A) for good cause shown.
(B) Pursuant to the Rule 9600 Series, FINRA may conditionally or unconditionally grant an exemption from paragraph (c)(3) for good cause shown after taking into consideration all relevant factors, to the extent such exemption is consistent with the purposes of the Rule, the protection of investors, and the public interest.",Marketing
"(A) All member communications must be based on principles of fair dealing and good faith, must be fair and balanced, and must provide a sound basis for evaluating the facts in regard to any particular security or type of security, industry, or service. No member may omit any material fact or qualification if the omission, in light of the context of the material presented, would cause the communications to be misleading.
",Marketing
"(B) No member may make any false, exaggerated, unwarranted, promissory or misleading statement or claim in any communication. No member may publish, circulate or distribute any communication that the member knows or has reason to know contains any untrue statement of a material fact or is otherwise false or misleading.",Marketing
"(C) Information may be placed in a legend or footnote only in the event that such placement would not inhibit an investor's understanding of the communication.
(D) Members must ensure that statements are clear and not misleading within the context in which they are made, and that they provide balanced treatment of risks and potential benefits. Communications must be consistent with the risks of fluctuating prices and the uncertainty of dividends, rates of return and yield inherent to investments.",Marketing
Members must consider the nature of the audience to which the communication will be directed and must provide details and explanations appropriate to the audience.,Marketing
"Communications may not predict or project performance, imply that past performance will recur or make any exaggerated or unwarranted claim, opinion or forecast; provided, however, that this paragraph (d)(1)(F) does not prohibit:
(i) A hypothetical illustration of mathematical principles, provided that it does not predict or project the performance of an investment or investment strategy;
(ii) An investment analysis tool, or a written report produced by an investment analysis tool, that meets the requirements of Rule 2214; and
(iii) A price target contained in a research report on debt or equity securities, provided that the price target has a reasonable basis, the report discloses the valuation methods used to determine the price target, and the price target is accompanied by disclosure concerning the risks that may impede achievement of the price target.",Marketing
"Any comparison in retail communications between investments or services must disclose all material differences between them, including (as applicable) investment objectives, costs and expenses, liquidity, safety, guarantees or insurance, fluctuation of principal or return, and tax features.",Marketing
"All retail communications and correspondence must:
(A) prominently disclose the name of the member, or the name under which the member's broker-dealer business primarily is conducted as disclosed on the member's Form BD, and may also include a fictional name by which the member is commonly recognized or which is required by any state or jurisdiction",Marketing
"(B) reflect any relationship between the member and any non-member or individual who is also named; and
(C) if it includes other names, reflect which products or services are being offered by the member.
This paragraph (d)(3) does not apply to so-called ""blind"" advertisements used to recruit personnel.",Marketing
"Tax Considerations
(A) In retail communications and correspondence, references to tax-free or tax-exempt income must indicate which income taxes apply, or which do not, unless income is free from all applicable taxes. If income from an investment company investing in municipal bonds is subject to state or local income taxes, this fact must be stated, or the illustration must otherwise make it clear that income is free only from federal income tax.",Marketing
" Communications may not characterize income or investment returns as tax-free or exempt from income tax when tax liability is merely postponed or deferred, such as when taxes are payable upon redemption.",Marketing
"A comparative illustration of the mathematical principles of tax-deferred versus taxable compounding must meet the following requirements:
(i) The illustration must depict both the taxable investment and the tax-deferred investment using identical investment amounts and identical assumed gross investment rates of return, which may not exceed 10 percent per annum.",Marketing
"The illustration must use and identify actual federal income tax rates.
(iii) The illustration may reflect an actual state income tax rate, provided that the communication prominently discloses that the illustration is applicable only to investors that reside in the identified state.",Marketing
"Tax rates used in an illustration that is intended for a target audience must reasonably reflect its tax bracket or brackets as well as the tax character of capital gains and ordinary income.
(v) If the illustration covers the payout period for an investment, the illustration must reflect the impact of taxes during this period.",Marketing
"The illustration may not assume an unreasonable period of tax deferral.
(vii) The illustration must disclose, as applicable:
a. the degree of risk in the investment's assumed rate of return, including a statement that the assumed rate of return is not guaranteed;",Marketing
"b. the possible effects of investment losses on the relative advantage of the taxable versus the tax-deferred investments;
c. the extent to which tax rates on capital gains and dividends would affect the taxable investment's return;
d. the fact that ordinary income tax rates will apply to withdrawals from a tax-deferred investment;
e. its underlying assumptions;
f. the potential impact resulting from federal or state tax penalties (e.g., for early withdrawals or use on non-qualified expenses)",Marketing
"g. that an investor should consider his or her current and anticipated investment horizon and income tax bracket when making an investment decision, as the illustration may not reflect these factors.",Marketing
"Disclosure of Fees, Expenses and Standardized Performance
(A) Retail communications and correspondence that present non-money market fund open-end management investment company performance data as permitted by Securities Act Rule 482 and Rule 34b-1 under the Investment Company Act must disclose:
(i) the standardized performance information mandated by Securities Act Rule 482 and Rule 34b-1 under the Investment Company Act; and
(ii) to the extent applicable:",Marketing
"a. the maximum sales charge imposed on purchases or the maximum deferred sales charge, as stated in the investment company's prospectus current as of the date of distribution or submission for publication of a communication; and
b. the total annual fund operating expense ratio, gross of any fee waivers or expense reimbursements, as stated in the fee table of the investment company's prospectus described in paragraph (d)(5)(A)(ii)(a).",Marketing
" All of the information required by paragraph (d)(5)(A) must be set forth prominently, and in any print advertisement, in a prominent text box that contains only the required information and, at the member's option, comparative performance and fee data and disclosures required by Securities Act Rule 482 and Rule 34b-1 under the Investment Company Act.",Marketing
" If any testimonial in a communication concerns a technical aspect of investing, the person making the testimonial must have the knowledge and experience to form a valid opinion.",Marketing
"Retail communications or correspondence providing any testimonial concerning the investment advice or investment performance of a member or its products must prominently disclose the following:
(i) The fact that the testimonial may not be representative of the experience of other customers.",Marketing
"(ii) The fact that the testimonial is no guarantee of future performance or success.
(iii) If more than $100 in value is paid for the testimonial, the fact that it is a paid testimonial.",Marketing
"(A) Retail communications that include a recommendation of securities must have a reasonable basis for the recommendation and must disclose, if applicable, the following:
(i) that at the time the communication was published or distributed, the member was making a market in the security being recommended, or in the underlying security if the recommended security is an option or security future, or that the member or associated persons will sell to or buy from customers on a principal basis;",Marketing
"(ii) that the member or any associated person that is directly and materially involved in the preparation of the content of the communication has a financial interest in any of the securities of the issuer whose securities are recommended, and the nature of the financial interest (including, without limitation, whether it consists of any option, right, warrant, future, long or short position), unless the extent of the financial interest is nominal; and
(iii) that the member was manager or co-manager of a public offering of any securities of the issuer whose securities are recommended within the past 12 months.",Marketing
"(B) A member must provide, or offer to furnish upon request, available investment information supporting the recommendation. When a member recommends a corporate equity security, the member must provide the price at the time the recommendation is made.",Marketing
"(C) A retail communication or correspondence may not refer, directly or indirectly, to past specific recommendations of the member that were or would have been profitable to any person; provided, however, that a retail communication or correspondence may set out or offer to furnish a list of all recommendations as to the same type, kind, grade or classification of securities made by the member within the immediately preceding period of not less than one year, if the communication or list:",Marketing
"(i) states the name of each such security recommended, the date and nature of each such recommendation (e.g., whether to buy, sell or hold), the market price at that time, the price at which the recommendation was to be acted upon, and the market price of each such security as of the most recent practicable date; and",Marketing
"(ii) contains the following cautionary legend, which must appear prominently within the communication or list: “it should not be assumed that recommendations made in the future will be profitable or will equal the performance of the securities in this list.”",Marketing
"(D)(i) This paragraph (d)(7) does not apply to any communication that meets the definition of ""research report"" for purposes of Rule 2241 or that meets the definition of ""debt research report"" for purposes of Rule 2242, and includes all of the disclosures required by Rule 2241 or 2242, as applicable.",Marketing
"(ii) Paragraphs (d)(7)(A) and (d)(7)(C) do not apply to any communication that recommends only registered investment companies or variable insurance products; provided, however, that such communications must have a reasonable basis for the recommendation.",Marketing
